189BSAA002_A1	45	530	Fam1_P0_dam
189BSAA002_A2	56	966	Fam1_P0_dam
189BSAA002_A3	58	782	Fam1_P0_dam
189BSAA002_A4	52	966	Fam1_P0_dam
189BSAA002_A5	58	1018	Fam1_P0_dam
189BSAA002_A6	40	90	Fam1_P0_dam
189BSAA002_A7	45	1023	Fam1_P0_dam
189BSAA002_A8	81	431	Fam1_P0_sire
189BSAA002_A9	53	1038	Fam1_P0_sire
189BSAA002_A10	45	665	Fam1_P0_sire
189BSAA002_A11	48	1030	Fam1_P0_sire
189BSAA002_A12	58	1020	Fam1_P0_sire
189BSAA002_B1	47	573	Fam1_P0_dam
189BSAA002_B2	41	1082	Fam1_P0_dam
189BSAA002_B3	47	1057	Fam1_P0_dam
189BSAA002_B4	58	671	Fam1_P0_dam
189BSAA002_B5	44	443	Fam1_P0_dam
189BSAA002_B6	62	896	Fam1_P0_dam
189BSAA002_B7	40	594	Fam1_P0_dam
189BSAA002_B8	50	602	Fam1_P0_sire
189BSAA002_B9	47	1018	Fam1_P0_sire
189BSAA002_B10	47	1062	Fam1_P0_sire
189BSAA002_B11	48	809	Fam1_P0_sire
189BSAA002_B12	47	464	Fam1_P0_sire
189BSAA002_C1	56	596	Fam1_P0_dam
189BSAA002_C2	41	1049	Fam1_P0_dam
189BSAA002_C3	57	1058	Fam1_P0_dam
189BSAA002_C4	41	1070	Fam1_P0_dam
189BSAA002_C5	34	1022	Fam1_P0_dam
189BSAA002_C6	54	296	Fam1_P0_dam
189BSAA002_C7	47	1072	Fam1_P0_dam
189BSAA002_C8	42	1045	Fam1_P0_sire
189BSAA002_C9	41	1067	Fam1_P0_sire
189BSAA002_C10	40	1071	Fam1_P0_sire
189BSAA002_C11	34	1057	Fam1_P0_sire
189BSAA002_C12	43	1060	Fam1_P0_sire
189BSAA002_D2	54	987	Fam1_P0_dam
189BSAA002_D3	42	1090	Fam1_P0_dam
189BSAA002_D4	39	1028	Fam1_P0_dam
189BSAA002_D5	43	728	Fam1_P0_dam
189BSAA002_D6	47	190	Fam1_P0_dam
189BSAA002_D7	50	1097	Fam1_P0_dam
189BSAA002_D8	48	963	Fam1_P0_sire
189BSAA002_D9	43	1048	Fam1_P0_sire
189BSAA002_D10	40	1060	Fam1_P0_sire
189BSAA002_D11	41	1107	Fam1_P0_sire
189BSAA002_D12	43	728	Fam1_P0_sire
189BSAA002_E1	49	608	Fam1_P0_dam
189BSAA002_E2	52	1051	Fam1_P0_dam
189BSAA002_E3	46	1047	Fam1_P0_dam
189BSAA002_E4	42	1008	Fam1_P0_dam
189BSAA002_E5	50	984	Fam1_P0_dam
189BSAA002_E6	46	1025	Fam1_P0_dam
189BSAA002_E7	47	1014	Fam1_P0_dam
189BSAA002_E8	43	1058	Fam1_P0_sire
189BSAA002_E9	42	949	Fam1_P0_sire
189BSAA002_E10	55	1011	Fam1_P0_sire
189BSAA002_E11	32	1083	Fam1_P0_sire
189BSAA002_E12	45	594	Fam1_P0_sire
189BSAA002_F1	51	188	Fam1_P0_dam
189BSAA002_F2	47	998	Fam1_P0_dam
189BSAA002_F3	62	995	Fam1_P0_dam
189BSAA002_F4	47	1006	Fam1_P0_dam
189BSAA002_F5	41	607	Fam1_P0_dam
189BSAA002_F6	41	752	Fam1_P0_dam
189BSAA002_F7	40	660	Fam1_P0_dam
189BSAA002_F8	50	996	Fam1_P0_sire
189BSAA002_F9	57	974	Fam1_P0_sire
189BSAA002_F10	51	881	Fam1_P0_sire
189BSAA002_F11	49	1049	Fam1_P0_sire
189BSAA002_F12	56	125	Fam1_P0_sire
189BSAA002_G1	52	844	Fam1_P0_dam
189BSAA002_G2	57	885	Fam1_P0_dam
189BSAA002_G3	38	859	Fam1_P0_dam
189BSAA002_G4	51	757	Fam1_P0_dam
189BSAA002_G7	46	785	Fam1_P0_dam
189BSAA002_G8	53	973	Fam1_P0_sire
189BSAA002_G9	52	1055	Fam1_P0_sire
189BSAA002_G10	30	1003	Fam1_P0_sire
189BSAA002_G11	47	618	Fam1_P0_sire
189BSAA002_H1	55	180	Fam1_P0_dam
189BSAA002_H2	34	1009	Fam1_P0_dam
189BSAA002_H3	38	836	Fam1_P0_dam
189BSAA002_H4	49	955	Fam1_P0_dam
189BSAA002_H5	56	583	Fam1_P0_dam
189BSAA002_H6	51	462	Fam1_P0_dam
189BSAA002_H7	41	549	Fam1_P0_dam
189BSAA002_H8	31	454	Fam1_P0_sire
189BSAA002_H9	45	944	Fam1_P0_sire
189BSAA002_H10	50	838	Fam1_P0_sire
189BSAA002_H11	40	1015	Fam1_P0_sire
189BSAA002_H12	52	120	Fam1_P0_sire
18CFPAB001_A2	58	280	Fam1.1_F2_M578
18CFPAB001_A4	53	280	Fam1.1_F2_F582
18CFPAB001_A5	52	284	Fam1.1_F2_F583
18CFPAB001_A6	59	549	Fam1.1_F2_F585
18CFPAB001_A7	42	902	Fam6.3_F2_M662
18CFPAB001_A8	44	1018	Fam6.3_F2_M663
18CFPAB001_A9	45	987	Fam6.3_F2_M664
18CFPAB001_A10	43	980	Fam6.3_F2_F688
18CFPAB001_A11	45	990	Fam6.3_F2_F689
18CFPAB001_A12	49	1012	Fam6.3_F2_F690
18CFPAB001_B2	36	771	Fam1.1_F2_M578
18CFPAB001_B3	37	965	Fam1.1_F2_M580
18CFPAB001_B4	34	1021	Fam1.1_F2_F582
18CFPAB001_B5	35	935	Fam1.1_F2_F583
18CFPAB001_B6	37	1010	Fam1.1_F2_F585
18CFPAB001_B7	37	944	Fam6.3_F2_M662
18CFPAB001_B8	34	1077	Fam6.3_F2_M663
18CFPAB001_B9	36	1000	Fam6.3_F2_M664
18CFPAB001_B10	34	1024	Fam6.3_F2_F688
18CFPAB001_B11	38	847	Fam6.3_F2_F689
18CFPAB001_B12	37	880	Fam6.3_F2_F690
18CFPAB001_C2	34	843	Fam1.1_F2_M578
18CFPAB001_C3	39	1009	Fam1.1_F2_M580
18CFPAB001_C4	39	1003	Fam1.1_F2_F582
18CFPAB001_C5	42	996	Fam1.1_F2_F583
18CFPAB001_C6	35	1008	Fam1.1_F2_F585
18CFPAB001_C7	26	996	Fam6.3_F2_M662
18CFPAB001_C8	26	994	Fam6.3_F2_M663
18CFPAB001_C10	31	1014	Fam6.3_F2_F688
18CFPAB001_C11	34	940	Fam6.3_F2_F689
18CFPAB001_C12	34	810	Fam6.3_F2_F690
18CFPAB001_D2	39	1011	Fam1.1_F2_M578
18CFPAB001_D3	36	948	Fam1.1_F2_M580
18CFPAB001_D4	33	659	Fam1.1_F2_F582
18CFPAB001_D5	36	969	Fam1.1_F2_F583
18CFPAB001_D6	33	745	Fam1.1_F2_F585
18CFPAB001_D7	33	964	Fam6.3_F2_M662
18CFPAB001_D8	33	950	Fam6.3_F2_M663
18CFPAB001_D9	34	965	Fam6.3_F2_M664
18CFPAB001_D10	29	1007	Fam6.3_F2_F688
18CFPAB001_D11	36	1010	Fam6.3_F2_F689
18CFPAB001_D12	41	958	Fam6.3_F2_F690
18CFPAB001_E1	40	1000	Fam1.1_F2_M576
18CFPAB001_E2	35	1070	Fam1.1_F2_M578
18CFPAB001_E3	40	929	Fam1.1_F2_M580
18CFPAB001_E4	38	800	Fam1.1_F2_F582
18CFPAB001_E5	37	800	Fam1.1_F2_F583
18CFPAB001_E6	38	1006	Fam1.1_F2_F585
18CFPAB001_E7	38	1013	Fam6.3_F2_M662
18CFPAB001_E8	38	995	Fam6.3_F2_M663
18CFPAB001_E9	38	999	Fam6.3_F2_M664
18CFPAB001_E10	28	800	Fam6.3_F2_F688
18CFPAB001_E11	33	800	Fam6.3_F2_F689
18CFPAB001_E12	32	970	Fam6.3_F2_F690
18CFPAB001_F1	44	754	Fam1.1_F2_M576
18CFPAB001_F2	32	749	Fam1.1_F2_M578
18CFPAB001_F3	32	752	Fam1.1_F2_M580
18CFPAB001_F4	33	750	Fam1.1_F2_F582
18CFPAB001_F5	31	750	Fam1.1_F2_F583
18CFPAB001_F6	35	259	Fam1.1_F2_F585
18CFPAB001_F7	41	746	Fam6.3_F2_M662
18CFPAB001_F8	38	749	Fam6.3_F2_M663
18CFPAB001_F9	42	757	Fam6.3_F2_M664
18CFPAB001_F10	37	748	Fam6.3_F2_F688
18CFPAB001_F11	40	754	Fam6.3_F2_F689
18CFPAB001_F12	38	750	Fam6.3_F2_F690
18CFPAB001_G2	36	755	Fam1.1_F2_M578
18CFPAB001_G3	37	1020	Fam1.1_F2_M580
18CFPAB001_G4	36	935	Fam1.1_F2_F582
18CFPAB001_G5	37	808	Fam1.1_F2_F583
18CFPAB001_G6	37	981	Fam1.1_F2_F585
18CFPAB001_G7	37	1041	Fam6.3_F2_M662
18CFPAB001_G8	37	1040	Fam6.3_F2_M663
18CFPAB001_G9	38	1053	Fam6.3_F2_M664
18CFPAB001_G10	37	1052	Fam6.3_F2_F688
18CFPAB001_G11	38	1053	Fam6.3_F2_F689
18CFPAB001_G12	38	971	Fam6.3_F2_F690
18CFPAB001_H1	45	728	Fam1.1_F2_M576
18CFPAB001_H2	39	728	Fam1.1_F2_M578
18CFPAB001_H3	44	733	Fam1.1_F2_M580
18CFPAB001_H4	38	732	Fam1.1_F2_F582
18CFPAB001_H5	39	728	Fam1.1_F2_F583
18CFPAB001_H6	47	734	Fam1.1_F2_F585
18CFPAB001_H7	61	770	Fam6.3_F2_M662
18CFPAB001_H8	48	729	Fam6.3_F2_M663
18CFPAB001_H9	50	735	Fam6.3_F2_M664
18CFPAB001_H10	48	729	Fam6.3_F2_F688
18CFPAB001_H11	48	729	Fam6.3_F2_F689
18CFPAB001_H12	47	726	Fam6.3_F2_F690
18CFPAB000_A2	42	907	Fam1.1_F2_M578
18CFPAB000_A3	43	530	Fam1.1_F2_M580
18CFPAB000_A4	42	992	Fam1.1_F2_F582
18CFPAB000_A5	44	652	Fam1.1_F2_F583
18CFPAB000_A6	40	905	Fam1.1_F2_F585
18CFPAB000_A7	42	940	Fam6.3_F2_M662
18CFPAB000_A8	48	945	Fam6.3_F2_M663
18CFPAB000_A9	39	990	Fam6.3_F2_M664
18CFPAB000_A11	36	658	Fam6.3_F2_F689
18CFPAB000_A12	37	945	Fam6.3_F2_F690
18CFPAB000_B1	60	956	Fam1.1_F2_M576
18CFPAB000_B2	55	996	Fam1.1_F2_M578
18CFPAB000_B3	60	902	Fam1.1_F2_M580
18CFPAB000_B4	54	1010	Fam1.1_F2_F582
18CFPAB000_B5	59	908	Fam1.1_F2_F583
18CFPAB000_B6	56	988	Fam1.1_F2_F585
18CFPAB000_B7	56	894	Fam6.3_F2_M662
18CFPAB000_B8	56	1000	Fam6.3_F2_M663
18CFPAB000_B9	35	719	Fam6.3_F2_M664
18CFPAB000_B10	53	1001	Fam6.3_F2_F688
18CFPAB000_B11	62	811	Fam6.3_F2_F689
18CFPAB000_C2	38	974	Fam1.1_F2_M578
18CFPAB000_C3	37	982	Fam1.1_F2_M580
18CFPAB000_C4	38	945	Fam1.1_F2_F582
18CFPAB000_C5	53	866	Fam1.1_F2_F583
18CFPAB000_C6	34	1020	Fam1.1_F2_F585
18CFPAB000_C7	43	845	Fam6.3_F2_M662
18CFPAB000_C8	33	1012	Fam6.3_F2_M663
18CFPAB000_C9	38	1007	Fam6.3_F2_M664
18CFPAB000_C10	33	754	Fam6.3_F2_F688
18CFPAB000_C11	38	814	Fam6.3_F2_F689
18CFPAB000_D2	50	938	Fam1.1_F2_M578
18CFPAB000_D3	51	932	Fam1.1_F2_M580
18CFPAB000_D4	51	941	Fam1.1_F2_F582
18CFPAB000_D5	40	913	Fam1.1_F2_F583
18CFPAB000_D6	49	966	Fam1.1_F2_F585
18CFPAB000_D7	48	945	Fam6.3_F2_M662
18CFPAB000_D8	41	989	Fam6.3_F2_M663
18CFPAB000_D9	49	982	Fam6.3_F2_M664
18CFPAB000_D10	44	965	Fam6.3_F2_F688
18CFPAB000_D11	45	966	Fam6.3_F2_F689
18CFPAB000_D12	49	937	Fam6.3_F2_F690
18CFPAB000_F1	49	993	Fam1.1_F2_M576
18CFPAB000_F2	43	891	Fam1.1_F2_M578
18CFPAB000_F3	44	990	Fam1.1_F2_M580
18CFPAB000_F4	42	988	Fam1.1_F2_F582
18CFPAB000_F5	49	879	Fam1.1_F2_F583
18CFPAB000_F6	42	942	Fam1.1_F2_F585
18CFPAB000_F7	45	874	Fam6.3_F2_M662
18CFPAB000_F8	42	1005	Fam6.3_F2_M663
18CFPAB000_F9	46	1011	Fam6.3_F2_M664
18CFPAB000_F10	42	1007	Fam6.3_F2_F688
18CFPAB000_F11	42	977	Fam6.3_F2_F689
18CFPAB000_F12	41	986	Fam6.3_F2_F690
18CFPAB000_G2	45	732	Fam1.1_F2_M578
18CFPAB000_G3	43	840	Fam1.1_F2_M580
18CFPAB000_G4	43	839	Fam1.1_F2_F582
18CFPAB000_G5	41	587	Fam1.1_F2_F583
18CFPAB000_G6	38	835	Fam1.1_F2_F585
18CFPAB000_G7	44	600	Fam6.3_F2_M662
18CFPAB000_G8	41	834	Fam6.3_F2_M663
18CFPAB000_G9	43	837	Fam6.3_F2_M664
18CFPAB000_G10	40	705	Fam6.3_F2_F688
18CFPAB000_G11	35	837	Fam6.3_F2_F689
18CFPAB000_G12	41	702	Fam6.3_F2_F690
18CFPAB000_H1	54	596	Fam1.1_F2_M576
18CFPAB000_H2	34	913	Fam1.1_F2_M578
18CFPAB000_H3	50	913	Fam1.1_F2_M580
18CFPAB000_H4	40	885	Fam1.1_F2_F582
18CFPAB000_H5	39	610	Fam1.1_F2_F583
18CFPAB000_H8	39	941	Fam6.3_F2_M663
18CFPAB000_H10	38	971	Fam6.3_F2_F688
18CFPAB000_H11	62	530	Fam6.3_F2_F689
18CFPAB000_H12	28	908	Fam6.3_F2_F690
18CFPAB002_A1	40	450	Fam1.1_F2_M576
18CFPAB002_A2	38	1038	Fam1.1_F2_M578
18CFPAB002_A3	36	1036	Fam1.1_F2_M580
18CFPAB002_A4	40	1036	Fam1.1_F2_F582
18CFPAB002_A5	41	1037	Fam1.1_F2_F583
18CFPAB002_A6	42	1010	Fam1.1_F2_F585
18CFPAB002_A7	42	1050	Fam6.3_F2_M662
18CFPAB002_A8	41	1038	Fam6.3_F2_M663
18CFPAB002_A9	42	486	Fam6.3_F2_M664
18CFPAB002_A10	43	1039	Fam6.3_F2_F688
18CFPAB002_A11	40	1036	Fam6.3_F2_F689
18CFPAB002_B1	57	1009	Fam1.1_F2_M576
18CFPAB002_B2	53	1029	Fam1.1_F2_M578
18CFPAB002_B3	56	1011	Fam1.1_F2_M580
18CFPAB002_B4	49	1036	Fam1.1_F2_F582
18CFPAB002_B5	53	1037	Fam1.1_F2_F583
18CFPAB002_B6	51	1016	Fam1.1_F2_F585
18CFPAB002_B7	52	1010	Fam6.3_F2_M662
18CFPAB002_B8	51	1026	Fam6.3_F2_M663
18CFPAB002_B9	41	1033	Fam6.3_F2_M664
18CFPAB002_B10	51	1037	Fam6.3_F2_F688
18CFPAB002_B11	54	1028	Fam6.3_F2_F689
18CFPAB002_B12	62	898	Fam6.3_F2_F690
18CFPAB002_C2	32	446	Fam1.1_F2_M578
18CFPAB002_C3	29	443	Fam1.1_F2_M580
18CFPAB002_C4	29	443	Fam1.1_F2_F582
18CFPAB002_C5	29	444	Fam1.1_F2_F583
18CFPAB002_C6	32	445	Fam1.1_F2_F585
18CFPAB002_C7	38	443	Fam6.3_F2_M662
18CFPAB002_C8	39	444	Fam6.3_F2_M663
18CFPAB002_C9	42	446	Fam6.3_F2_M664
18CFPAB002_C10	38	442	Fam6.3_F2_F688
18CFPAB002_C11	31	446	Fam6.3_F2_F689
18CFPAB002_C12	49	454	Fam6.3_F2_F690
18CFPAB002_D2	57	288	Fam1.1_F2_M578
18CFPAB002_D3	58	284	Fam1.1_F2_M580
18CFPAB002_D4	61	292	Fam1.1_F2_F582
18CFPAB002_D5	92	286	Fam1.1_F2_F583
18CFPAB002_D6	58	289	Fam1.1_F2_F585
18CFPAB002_D7	61	292	Fam6.3_F2_M662
18CFPAB002_D8	56	287	Fam6.3_F2_M663
18CFPAB002_D9	58	289	Fam6.3_F2_M664
18CFPAB002_D10	56	287	Fam6.3_F2_F688
18CFPAB002_D11	59	287	Fam6.3_F2_F689
18CFPAB002_D12	57	288	Fam6.3_F2_F690
18CFPAB002_E2	68	962	Fam1.1_F2_M578
18CFPAB002_E3	65	962	Fam1.1_F2_M580
18CFPAB002_E4	56	942	Fam1.1_F2_F582
18CFPAB002_E6	61	988	Fam1.1_F2_F585
18CFPAB002_E7	132	670	Fam6.3_F2_M662
18CFPAB002_E8	62	1001	Fam6.3_F2_M663
18CFPAB002_E10	57	995	Fam6.3_F2_F688
18CFPAB002_E11	65	992	Fam6.3_F2_F689
18CFPAB002_E12	65	929	Fam6.3_F2_F690
18CFPAB002_F1	61	620	Fam1.1_F2_M576
18CFPAB002_F2	58	636	Fam1.1_F2_M578
18CFPAB002_F3	65	639	Fam1.1_F2_M580
18CFPAB002_F4	59	847	Fam1.1_F2_F582
18CFPAB002_F6	61	848	Fam1.1_F2_F585
18CFPAB002_F8	61	941	Fam6.3_F2_M663
18CFPAB002_F10	63	935	Fam6.3_F2_F688
18CFPAB002_F11	64	933	Fam6.3_F2_F689
18CFPAB002_F12	63	918	Fam6.3_F2_F690
18CFPAB002_G2	52	930	Fam1.1_F2_M578
18CFPAB002_G4	91	564	Fam1.1_F2_F582
18CFPAB002_G6	48	991	Fam1.1_F2_F585
18CFPAB002_G8	51	981	Fam6.3_F2_M663
18CFPAB002_G9	130	500	Fam6.3_F2_M664
18CFPAB002_G10	55	1003	Fam6.3_F2_F688
18CFPAB002_G11	54	990	Fam6.3_F2_F689
18CFPAB002_G12	50	984	Fam6.3_F2_F690
18CFPAB002_H1	66	910	Fam1.1_F2_M576
18CFPAB002_H2	66	750	Fam1.1_F2_M578
18CFPAB002_H3	68	910	Fam1.1_F2_M580
18CFPAB002_H4	66	700	Fam1.1_F2_F582
18CFPAB002_H5	65	528	Fam1.1_F2_F583
18CFPAB002_H6	66	965	Fam1.1_F2_F585
18CFPAB002_H7	62	885	Fam6.3_F2_M662
18CFPAB002_H8	60	1046	Fam6.3_F2_M663
18CFPAB002_H9	71	631	Fam6.3_F2_M664
18CFPAB002_H10	60	1038	Fam6.3_F2_F688
18CFPAB002_H11	65	1036	Fam6.3_F2_F689
18CFPAB002_H12	62	1001	Fam6.3_F2_F690
18CFPAB003_A2	65	958	Fam1.1_F2_M578
18CFPAB003_A3	63	618	Fam1.1_F2_M580
18CFPAB003_A4	66	817	Fam1.1_F2_F582
18CFPAB003_A5	63	818	Fam1.1_F2_F583
18CFPAB003_A6	62	768	Fam1.1_F2_F585
18CFPAB003_A7	68	824	Fam6.3_F2_M662
18CFPAB003_A8	54	420	Fam6.3_F2_M663
18CFPAB003_A9	66	803	Fam6.3_F2_M664
18CFPAB003_A10	61	805	Fam6.3_F2_F688
18CFPAB003_A11	59	810	Fam6.3_F2_F689
18CFPAB003_A12	63	817	Fam6.3_F2_F690
18CFPAB003_B1	60	857	Fam1.1_F2_M576
18CFPAB003_B2	61	1052	Fam1.1_F2_M578
18CFPAB003_B3	54	800	Fam1.1_F2_M580
18CFPAB003_B4	60	813	Fam1.1_F2_F582
18CFPAB003_B5	58	540	Fam1.1_F2_F583
18CFPAB003_B6	57	808	Fam1.1_F2_F585
18CFPAB003_B7	61	812	Fam6.3_F2_M662
18CFPAB003_B8	57	1102	Fam6.3_F2_M663
18CFPAB003_B9	60	807	Fam6.3_F2_M664
18CFPAB003_B10	54	814	Fam6.3_F2_F688
18CFPAB003_B11	57	983	Fam6.3_F2_F689
